# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankZ_max_failures_allowed=1 BankZ_sector_A_i0=500 beta=0.02 default_seed=17833 eta=0.9 FirmsZ_A_i0=1.0 FirmsZ_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankZ_deposits_and_networth=0 threshold_BankZrupt=0 w=1.0
  t,BankZL,BankZA,BankZD,BankZPROFITS,BankZBD,FirmsZK,FirmsZA,FirmsZL,FirmsZPROFITS,FirmsZY,FirmsZR,FirmsZI,FirmsZGAMMA,FirmsZU,FirmsZDK,FirmsZOL,FirmsZGAP_OF_L,FirmsZDL,FirmsZFAIL
 65,442761.41607535945,35420.91328602876,407340.50278933067,-10.714813713610276,0.0,4.627647696939093,102.27320336349997,nan,2.7184963195353244,4.809969253733047,0.0,-538.666242410871,1.0,1.0021775041343297,-439.1115353669064,435925.8680646553,0.0,-535.7406856805138,0
 66,449410.0299147638,35952.802393181104,413457.22752158274,-10.854879737803481,0.0,4.614898193695136,100.97754785814936,nan,-1.2956555053505712,4.79721975048909,0.0,-540.025490570639,1.0,0.9883661716069798,-437.7522872071388,442486.43637925194,0.0,-542.743986890174,0
 67,456001.53450434306,36480.12276034745,419521.4117439956,-10.76164014625226,0.0,4.644843583852742,104.04708986760981,nan,3.0695420094604247,4.827165140646696,0.0,-539.3776628179633,1.0,1.0171825682582092,-438.4001149598143,449136.74530260515,0.0,-538.082007312613,0
 68,462665.31370828685,37013.22509666295,425652.0886116239,-10.879639516643083,0.0,4.547375853785202,94.38440458019393,nan,-9.662685287415874,4.729697410579157,0.0,-540.9124338226936,1.0,0.9224521323044559,-436.8653439550841,455726.2640110577,0.0,-543.9819758321541,0
 69,469113.93918045884,37529.11513443671,431584.82404602214,-10.528368117831397,0.0,4.651549724322606,104.74718912597186,nan,10.362784545777982,4.83387128111656,0.0,-536.0810911789857,1.0,1.0370279302733065,-441.69668659879204,462405.12809564197,0.0,-526.4184058915698,0
 70,475871.3487134302,38069.70789707442,437801.6408163558,-11.032505359953053,0.0,4.623874541415493,101.88803776312623,nan,-2.8591513628456937,4.806196098209447,0.0,-541.2624834518747,1.0,0.9924645674145379,-436.51529432590297,468835.40821601375,0.0,-551.6252679976526,0
 71,482449.2772294238,38595.94217835391,443853.3350510699,-10.73947512815212,0.0,4.585667444108702,98.06862062616835,nan,-3.819417136957842,4.767989000902657,0.0,-539.8329077704518,1.0,0.9661770774570687,-437.9448700073257,475601.3624888115,0.0,-536.9737564076061,0
 72,488992.0485597202,39119.36388477762,449872.68467494263,-10.682075641300305,0.0,4.698960518049065,109.83294373043593,nan,11.764323104267579,4.8812820748430195,0.0,-537.9231992019728,1.0,1.0770994532817724,-439.8545785758048,482173.452505964,0.0,-534.1037820650153,0
 73,495797.7771869851,39663.82217495881,456133.9550120263,-11.111393677167491,0.0,4.640218454730836,103.56696980673782,nan,-6.265973923698075,4.822540011524791,0.0,-543.8053607541066,1.0,1.006521121232887,-433.97241702367097,488723.09012330964,0.0,-555.5696838583746,0
 74,502344.2555853748,40187.54044682998,462156.7151385448,-10.688127997371199,0.0,4.638195883745829,103.35770995139404,nan,-0.20925985534381875,4.820517440539783,0.0,-540.6723737922578,1.0,1.0100438131234664,-437.10540398551996,495536.3756600989,0.0,-534.4063998685599,0
 75,508963.6470144881,40717.09176115905,468246.55525332905,-10.807169680184836,0.0,4.563756918875182,95.94325460875568,nan,-7.414455342638421,4.746078475669136,0.0,-540.5677438645859,1.0,0.939673789551974,-437.2100339131919,502078.18370296754,0.0,-540.3584840092418,0
 76,515449.36125990807,41235.948900792646,474213.41235911543,-10.588921217012567,0.0,4.794937127609636,120.89678047452486,nan,24.953525865769222,4.977258684403591,0.0,-536.8605161932664,1.0,1.1863901550988634,-440.9172615845111,508707.7926741465,0.0,-529.4460608506283,0
 77,522484.4236210588,41798.7538896847,480685.66973137413,-11.485816099838413,0.0,4.692950636558092,109.17484029744942,nan,-11.72194017707541,4.875272193352047,0.0,-549.3372791261513,1.0,1.0427220100986296,-428.4404986516262,515175.3940455185,0.0,-574.2908049919206,0
 78,528998.4146396004,42319.87317116804,486678.5414684324,-10.635087377210764,0.0,4.690505759572521,108.90824726937717,nan,-0.2665930280722152,4.872827316366476,0.0,-543.4763090376134,1.0,1.0586087608007115,-434.30146874016424,522215.18946511956,0.0,-531.7543688605382,0
 79,535651.1007784202,42852.08806227362,492799.0127161466,-10.861528389910106,0.0,4.710156244768325,111.0695125802927,nan,2.161265310915443,4.89247780156228,0.0,-543.3430125235775,1.0,1.0805398814957599,-434.4347652542001,528726.9144810374,0.0,-543.0764194955053,0
